jornada,match,result,liga
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Barcelona - Deportivo en directo,4 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Celta - Villarreal en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Girona - Getafe en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Las Palmas - Espanyol en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Málaga - Betis en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Leganés - Real Madrid en directo,1 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Levante - Leganés en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Atlético - Real Madrid en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Getafe - Alavés en directo,4 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Leganés - Barcelona en directo,0 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Sevilla - Celta en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Athletic - Villarreal en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Espanyol - Valencia en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Las Palmas - Levante en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Málaga - Deportivo en directo,3 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Eibar - Betis en directo,5 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Getafe - Málaga en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Getafe - Las Palmas en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,R. Sociedad - Sevilla en directo,3 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Alavés - Málaga en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Eibar - Girona en directo,4 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Espanyol - Atlético en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Betis - Athletic en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Deportivo - Celta en directo,1 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Real Madrid - Barcelona en directo,0 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_17/,Valencia - Villarreal en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Deportivo - Valencia en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Eibar - Atlético en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Girona - Las Palmas en directo,6 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Real Madrid - Villarreal en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Alavés - Sevilla en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Espanyol - Athletic en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Levante - Celta en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,R. Sociedad - Barcelona en directo,2 - 4,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_19/,Betis - Leganés en directo,3 - 2,primera
